index	chapter	file	line	kind	voice	source	translation	terms
3980	17	noel2_007.dsf	1844	dialogue	vfnoel2_007yki014	【話者：松井雪野／中文名：松井雪野】「理理ったら、天崎家の一人娘がレンタルなんて。去年のドレスでいいじゃない。それか、いっそのこと新しいのをおねだり、とか」	「理理真是的，天崎家的独生女怎么能租礼服呢？穿去年的不就好了。或者干脆撒撒娇，让家里买件新的？」	[]
3981	17	noel2_007.dsf	1852	dialogue	vfnoel2_007rri055	【話者：天崎理理／中文名：天崎理理】「お父様は最近すっごく忙しいみたいで、ここ二月、電話さえくれないの。たまにメールが来るぐらいで……。だからおねだりなんてできないよ。去年のドレスは子供っぽいから、夏のチャリティに出しちゃったし……んあー、どーしよ」	「父亲大人最近似乎忙得不得了，这两个月连一通电话都没打给我，只偶尔发封邮件……我哪能撒娇求他呀。去年的礼服太孩子气，夏天已经捐去做慈善了……啊——怎么办。」	[]
3982	17	noel2_007.dsf	1857	narration		ノエルはそっと、頭を抱える理理の袖を引いた。	诺艾尔轻轻拉了拉正抱头苦恼的理理的袖子。	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
3983	17	noel2_007.dsf	1862	dialogue	vfnoel2_007rri056	【話者：天崎理理／中文名：天崎理理】「なあに？」	「怎么啦？」	[]
3984	17	noel2_007.dsf	1870	dialogue	vfnoel2_007noe035	【話者：吉川ノエル／中文名：吉川诺艾尔】「……ザンクトアーリウムって、準備にドレスが必要なの？」	「……参加圣亚利乌姆节，需要准备礼服吗？」	[]
3985	17	noel2_007.dsf	1878	dialogue	vfnoel2_007rri057	【話者：天崎理理／中文名：天崎理理】「そうか、ノエルは初めてだものね。ドレスと靴とパーティバッグが必要なのよ」	「对了，诺艾尔是第一次参加嘛。需要礼服、鞋子和晚宴包。」	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
3986	17	noel2_007.dsf	1885	narration		理理の答えに、ノエルの口元がかすかに強張った。	听到理理的回答，诺艾尔的嘴角微微绷紧。	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
3987	17	noel2_007.dsf	1889	narration		思ったよりも、大変なことになりそうだ。	看来事情比想象中还要麻烦。	[]
3988	17	noel2_007.dsf	1893	narration		ザンクトアーリウムは、伝統的に生徒だけの間で受け継がれてきた行事らしく、部外者は一切立ち入り禁止。それゆえ、エマノンの資料にも詳しい内容は記載されていなかった。	圣亚利乌姆节似乎是传统上仅在学生之间代代相传的活动，严禁任何外人进入。因此，埃玛农的资料中也没有记载详细内容。	"[{""source"": ""エマノン"", ""target"": ""埃玛农"", ""mode"": ""hard"", ""pronoun"": null, ""present_in_target"": true, ""type"": ""组织"", ""note"": ""沿用已有对照表""}]"
3989	17	noel2_007.dsf	1898	dialogue	vfnoel2_007noe036	【話者：吉川ノエル／中文名：吉川诺艾尔】「そう、なの……」	「这样啊……」	[]
3990	17	noel2_007.dsf	1906	dialogue	vfnoel2_007rri058	【話者：天崎理理／中文名：天崎理理】「持ってないの？」	「你没有吗？」	[]
3991	17	noel2_007.dsf	1914	dialogue	vfnoel2_007noe037	【話者：吉川ノエル／中文名：吉川诺艾尔】「ええ。……なんだか、大変そう」	「嗯。……感觉很麻烦。」	[]
3992	17	noel2_007.dsf	1918	narration		面倒ごとがまた増えるのか。いいかげん、うんざりしてくる。	麻烦事又要增加了。她开始彻底厌烦起来。	[]
3993	17	noel2_007.dsf	1931	narration		雪野が頷き、説明の言葉を継いだ。	雪野点点头，接着开口解释道。	[]
3994	17	noel2_007.dsf	1947	dialogue	vfnoel2_007yki015	【話者：松井雪野／中文名：松井雪野】「ザンクトアーリウムは、社交界に出て行く前の練習なのよ。生徒が主催し、参加する、女の子だけの舞踏会」	「圣亚利乌姆节是进入社交界之前的演练哦。那是完全由学生主办并参与的、只有女孩子参加的舞会」	[]
3995	17	noel2_007.dsf	1951	dialogue	vfnoel2_007yki016	【話者：松井雪野／中文名：松井雪野】「学園の生徒の大半は、海外で舞踏会に招かれるような家柄の方々でいらっしゃるから、卒業生として恥をかかないように、デビュ―前に場慣れしておきましょう、っていう趣向らしいの」	「学园里大多数学生都出身于会受邀参加海外舞会的家庭。为了不让本校毕业生在社交场合出丑，才想让大家在正式出道前先熟悉这种场面，活动似乎就是出于这个目的。」	[]
3996	17	noel2_007.dsf	1959	dialogue	vfnoel2_007noe038	【話者：吉川ノエル／中文名：吉川诺艾尔】「……私には関係なさそうよ、社交界なんて」	「……社交界和我没什么关系。」	[]
3997	17	noel2_007.dsf	1967	dialogue	vfnoel2_007yki017	【話者：松井雪野／中文名：松井雪野】「でも、全員出席が決まりなのよ。特待生の私こそ、最も関係ないけど、毎年引っ張り出されてるもの」	「但是，规定所有人都要出席哦。身为特待生的我明明最没关系，每年却还是被硬拖着参加呢」	[]
3998	17	noel2_007.dsf	1974	narration		雪野の説明に、ノエルはこっそり息をつく。	听了雪野的解释，诺艾尔暗暗叹了口气。	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
3999	17	noel2_007.dsf	1978	narration		出席しないわけには、いかなさそうだ。	看来不能不参加。	[]
4000	17	noel2_007.dsf	1982	narration		ドレスに靴に……パーティバッグ。	礼服、鞋子……还有晚宴包。	[]
4001	17	noel2_007.dsf	1986	narration		考えるだけで、嫌気が差す。仕事なのだから淡々と出席し、理理を警護していればいいのだろうが、それにしても、だ。	一想到这些就厌烦。既然是工作，她只需若无其事地出席、保护理理便好。可即便如此——	[]
4002	17	noel2_007.dsf	1990	narration		兄になんと言えばいいだろうか。あの兄のことだ、さぞかしおもしろがって、ノエルをからかうに違いない。	该怎么对哥哥说呢？以哥哥的性格，一定会觉得有趣，拿诺艾尔寻开心。	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
4003	17	noel2_007.dsf	1994	narration		もうそろそろ、と言っていたか。	刚才她们是说，已经快到了吧。	[]
4004	17	noel2_007.dsf	1998	narration		――その時まで、学園にいるかどうかは分からないが。	——不过到那时为止，自己是否还留在学园里就未可知了。	[]
4005	18	noel2_008.dsf	19	narration		店を出て、そろそろ寮に帰ろうかと一旦は歩き出したのだが。	走出店门后，本来已经迈步准备回宿舍了，可是……	[]
4006	18	noel2_008.dsf	30	dialogue	vfnoel2_008rri000	【話者：天崎理理／中文名：天崎理理】「あ。あそこ、ちょっと寄っていい？」	「啊，那家店，可以稍微进去看看吗？」	[]
4007	18	noel2_008.dsf	37	narration		足を止めて理理が指差したのは、小さなアクセサリーショップだった。石造りの建物に、蔦のモチーフで装飾された黒鉄の窓枠がよく映えている。	理理停下脚步，指向一家小小的饰品店。藤蔓纹样装饰的黑铁窗框映在石造建筑上，格外醒目。	[]
4008	18	noel2_008.dsf	41	narration		ショーウインドウにはガラスや天然石の繊細なアクセサリーが並べられ、昼下がりの光を見事に彩っていた。	橱窗中陈列着玻璃与天然石制成的精巧饰品，把午后的光线点缀得绚丽多彩。	[]
4009	18	noel2_008.dsf	46	dialogue	vfnoel2_008yki000	【話者：松井雪野／中文名：松井雪野】「もちろん。いいわよね、ノエル」	「当然。可以吧，诺艾尔？」	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
4010	18	noel2_008.dsf	50	narration		雪野が微笑んで振り返り、ノエルはそれに頷いて見せる。	雪野笑着回头，诺艾尔点头回应。	"[{""source"": ""ノエル"", ""target"": ""诺艾尔"", ""mode"": ""preferred"", ""pronoun"": ""她"", ""present_in_target"": true, ""type"": null, ""note"": null}]"
4011	18	noel2_008.dsf	59	narration		理理と雪野に続いて重い扉を押し開き、中に入った。	她跟在理理和雪野身后，推开沉重的门走进店内。	[]
4012	18	noel2_008.dsf	83	dialogue	vfnoel2_008jod000	【話者：女性端役（JOD）／中文名：女性端役（JOD）】「このピアス、さっきのドレスにいいと思わない？」	「这对耳环，你不觉得配刚才那件礼服很好看吗？」	[]
4013	18	noel2_008.dsf	88	dialogue	vfnoel2_008joe000	【話者：女性端役（JOE）／中文名：女性端役（JOE）】「きっとお似合いになってよ。あ、そこのターコイズのとっていただける？」	「一定很适合你。啊，可以帮我拿一下那边那件绿松石的吗？」	[]
4014	18	noel2_008.dsf	93	dialogue	vfnoel2_008jof000	【話者：女性端役（JOF）／中文名：女性端役（JOF）】「ねえねえこれって、貴子さまが胸元に時々かけてらっしゃるのと同じじゃなくて？」	「你们看，这个是不是和贵子大人偶尔戴在胸前的那件一样？」	[]
4015	18	noel2_008.dsf	98	dialogue	vfnoel2_008joe001	【話者：女性端役（JOE）／中文名：女性端役（JOE）】「貴子さまはガラスのものなんか身に付けないもの、きっとあちらは本物のダイヤよ。でも、すごく似ていてよ」	「贵子大人才不会佩戴玻璃饰品，她那件肯定是真钻石。不过真的很像呢。」	[]
4016	18	noel2_008.dsf	103	dialogue	vfnoel2_008jod001	【話者：女性端役（JOD）／中文名：女性端役（JOD）】「これかわいい！」	「这个好可爱！」	[]
