id	file	line	kind	voice	source	translation
noel0_001.dsf:52	noel0_001.dsf	52	narration		　夜色の雲海の切れ間から、鋼鉄の黒鳥がゆっくりと現れた。	从夜色笼罩的云海缝隙间，钢铁的黑鸟缓缓现身。
noel0_001.dsf:54	noel0_001.dsf	54	narration		　差す月光の黄金を避け、羽ばたく翼は夜に隠す。	避开洒落的金色月光，拍动的双翼隐没于夜色之中。
noel0_001.dsf:56	noel0_001.dsf	56	narration		　UH-60 ブラックホーク。	UH-60「黑鹰」直升机。
noel0_001.dsf:58	noel0_001.dsf	58	narration		　星々の瞬く天。	繁星闪烁的夜空。
noel0_001.dsf:60	noel0_001.dsf	60	narration		　滑るように降下する、ただ一機。	仅有这一架，正如滑行般缓缓下降。
noel0_001.dsf:71	noel0_001.dsf	71	narration		　――閃光。	——闪光。
noel0_001.dsf:77	noel0_001.dsf	77	dialogue	vfnoel0_001noe000	「光った」	「闪了一下」
noel0_001.dsf:79	noel0_001.dsf	79	narration		　ノエルの呟きは、ローターの轟音にかき消された。	诺艾尔的喃喃自语，被旋翼的轰鸣声淹没了。
noel0_001.dsf:81	noel0_001.dsf	81	narration		　眼下に広がる深い森の闇を、炸裂したスタン・グレネードの閃光が真っ白に塗り替える。それを見下ろすノエルの瞳も、強い光に輝きを帯びた。	炸开的震撼弹迸出强光，将脚下绵延的幽深森林一瞬染成雪白。俯瞰这一幕的诺艾尔，双眸也被强光映得熠熠生辉。
noel0_001.dsf:83	noel0_001.dsf	83	narration		　ベルトを外してシートから下りる。膝をついた低い姿勢で、スライド式の扉を開いた。	解开安全带，从座椅上下来。她跪地伏低身姿，拉开了滑动式舱门。
noel0_001.dsf:95	noel0_001.dsf	95	narration		　途端、吹き荒れる風が、月光に透ける薄色の髪を舞い上げる。凄まじい圧力で、ノエルの身体を輸送ヘリの奥へ押し戻そうとする。	刹那间，呼啸的狂风扬起她那在月光下近乎透明的浅色发丝。强烈的风压试图将诺艾尔的身体推回运输直升机舱内。
noel0_001.dsf:97	noel0_001.dsf	97	narration		　開閉部脇のグリップを握って風圧と振動を堪えた。回転翼の唸りが鼓膜を叩く。	她握紧舱门旁的手柄，顶住风压与震动。旋翼的轰鸣捶打着鼓膜。
noel0_001.dsf:105	noel0_001.dsf	105	narration		　地上 800メートルの高度から、真下の目標地点を見下ろす。	从距离地面800米的高空，俯瞰正下方的目标地点。
noel0_001.dsf:107	noel0_001.dsf	107	narration		　照らし出された森の裂け目。明りに炙り出され逃げ惑う獲物の群れ。倒れ伏した死体の影。	被照亮的林间空隙。被光线逼出、四处逃窜的猎物群。横陈在地的尸体剪影。
noel0_001.dsf:109	noel0_001.dsf	109	narration		　降下予定時刻を、１分の半分ほど過ぎていた。	已经比预定空降时间晚了约半分钟。
noel0_001.dsf:111	noel0_001.dsf	111	narration		　準備はすでに完了していて、心臓は破れそうに脈打っている。	准备早已就绪，心脏剧烈搏动着，仿佛随时会破裂。
noel0_001.dsf:113	noel0_001.dsf	113	narration		　全身の筋肉に、指の一本一本に、関節という関節に、炎の温度で沸いた血が満ちる。	全身的肌肉、每一根手指、每一个关节，都充盈着如火焰般炽热沸腾的鲜血。
noel0_001.dsf:122	noel0_001.dsf	122	narration		　目を閉じて、肺を限界まで膨張させる深呼吸。	闭上双眼，深深吸气，直至肺部膨胀到极限。
noel0_001.dsf:124	noel0_001.dsf	124	narration		　息を吐き出し、音が消える。	吐出气息，声音随之消失。
noel0_001.dsf:126	noel0_001.dsf	126	narration		　すべての神経が、すべての細胞が、震え、響き、冴え、研がれ、どこまでもどこまでも駆り立てられて、叫びだしそうに熱くなる。	所有的神经，所有的细胞，都在颤动、共鸣，变得敏锐而锋利；它们被无止境地驱策着，炽热得仿佛就要放声尖叫。
noel0_001.dsf:135	noel0_001.dsf	135	dialogue	vfnoel0_001noe001	「……まだなの？」	「……还没好吗？」
